Serial No,Star_name,Distance,Mass,Radius,Discovery Year,Constellation
149,2MASSW J1515008+484742,34,57,0.99,2003,Boötes
150,2MASSI J1526140+204341,67,54,0.98,2000,Serpens
151,DENIS-P J153941.96-052042.4,51,63,1.00,2004,Libra
152,2MASS J15462718-3325111,37,44,0.94,2002,Lupus
153,2MASSW J1552591+294849,68,30,1.43,2003,Corona Borealis
154,2MASSW J1555157-095605,44,71,1.03,2002,Libra
155,2MASS J16150413+1340079,48,42,0.94,2007,Hercules
156,SDSSp J162414.37+002915.6,36,43,0.94,1999,Serpens
157,2MASS J16262034+3925190,110,71,1.03,2004,Hercules
158,2MASSW J1632291+190441,50,49,0.97,1999,Hercules
159,WISEPA J164715.59+563,28,41,0.94,n/a,
160,LSPM J1658+7027,60,73,1.04,2000,Draco
161,2MASSI J1726000+1,114,24,1.40,n/a,
162,2MASSW J1728114+3,79,,,n/a,
163,SDSSp J175032.96+175,90,47,0.97,n/a,
164,2MASS J18283572-48,39,45,0.95,n/a,
165,LSR J1835,18.5,77,1.07,2003,Lyra
166,2MASSW J1841086+3,138,67,1.01,n/a,
167,2MASS J18432213+40,46,96,1.22,n/a,
168,2MASS J20004841-75,105,25,1.88,n/a,
169,SDSS J204749.61-071,65,46,0.96,n/a,
170,2MASSI J2057540-0,47,70,1.02,n/a,
171,2MASSW J2101154+1,108,,,n/a,
172,2MASSI J2104149-1,62,69,1.02,n/a,
173,PSO J318,80,6.5,1.53,2013,Capricornus
174,HB 2124,113,94,1.21,n/a,
175,2MASS J21392676+02,32.1,46,0.96,n/a,Aquarius
176,2MASS J21481628+40,26.3,55,0.99,n/a,
177,2MASS J14112131-21,,,,n/a,
178,2MASSW J2206450-4,93,22,1.33,n/a,
179,2MASSW J2208136+2,154,27,1.41,n/a,
180,2MASSW J2224438-0,38,61,0.99,n/a,
181,2MASS J22282889-43,35,42,0.94,2013,Grus
182,2MASS J22373255+39,64,73,1.04,n/a,
183,2MASSW J2244316+2,56,12,1.29,n/a,
184,2MASS J23224684-31,56,24,1.39,n/a,
185,2MASS J23225299-61,148,17,1.59,n/a,
186,2MASS J23515044-25,67,88,1.16,n/a,
187,2MASSI J2356547-1,74,80,1.09,n/a,
188,WISE 0005,23.2,,,2010,Andromeda
189,WISE 0008,87.1,,,2010,Cetus
